Date,Line_ID,Total_Chips_Produced,Defective_Chips
2025-01-01,L2,6906,386
2025-01-02,L1,8172,138
2025-01-03,L3,8577,705
2025-01-04,L4,6997,162
2025-01-05,L5,9149,383
2025-01-06,L5,7516,698
2025-01-07,L5,9407,249
2025-01-08,L1,7858,101
2025-01-09,L3,7452,506
2025-01-10,L4,6865,214
2025-01-11,L2,7378,116
2025-01-12,L1,7842,142
2025-01-13,L5,7349,824
2025-01-14,L5,8259,784
2025-01-15,L1,9642,182
2025-01-16,L3,6370,863
2025-01-17,L3,8779,133
2025-01-18,L3,8041,670
2025-01-19,L2,6086,486
2025-01-20,L1,7110,876
2025-01-21,L1,5479,405
2025-01-22,L5,9378,895
2025-01-23,L2,8582,804
2025-01-24,L5,8521,492
2025-01-25,L3,8570,334
2025-01-26,L4,5035,562
2025-01-27,L4,7605,901
2025-01-28,L4,9844,283
2025-01-29,L1,7566,376
2025-01-30,L4,8175,475
2025-01-31,L4,9694,480
2025-02-01,L1,8529,647
2025-02-02,L1,9803,324
2025-02-03,L2,6181,782
2025-02-04,L1,7858,528
2025-02-05,L2,6990,469
2025-02-06,L4,8312,925
2025-02-07,L1,9817,111
2025-02-08,L3,9275,340
2025-02-09,L1,8519,596
2025-02-10,L2,7176,695
2025-02-11,L3,9253,871
2025-02-12,L3,5751,149
2025-02-13,L2,6473,673
2025-02-14,L4,8264,805
2025-02-15,L5,8385,892
2025-02-16,L1,9842,499
2025-02-17,L1,5830,348
2025-02-18,L1,7461,568
2025-02-19,L2,5893,878
2025-02-20,L2,7479,403
2025-02-21,L3,7830,245
2025-02-22,L5,8784,296
2025-02-23,L5,5780,179
2025-02-24,L2,8469,611
2025-02-25,L4,9609,832
2025-02-26,L5,7743,505
2025-02-27,L1,5491,216
2025-02-28,L2,9377,575
2025-03-01,L1,6288,915
2025-03-02,L1,5549,809
2025-03-03,L1,8156,177
2025-03-04,L2,5829,469
2025-03-05,L1,5693,787
2025-03-06,L1,7342,698
2025-03-07,L1,9673,208
2025-03-08,L4,5386,173
2025-03-09,L5,5344,533
2025-03-10,L3,7271,450
2025-03-11,L3,9066,714
2025-03-12,L3,7527,778
2025-03-13,L3,6711,872
2025-03-14,L2,6806,375
2025-03-15,L3,5862,535
2025-03-16,L1,7440,326
2025-03-17,L3,5281,611
2025-03-18,L3,9444,483
2025-03-19,L1,7846,377
2025-03-20,L4,5521,375
2025-03-21,L5,5812,344
2025-03-22,L4,5766,724
2025-03-23,L5,7597,625
2025-03-24,L3,7830,496
2025-03-25,L5,5530,234
2025-03-26,L1,6782,578
2025-03-27,L4,5150,631
2025-03-28,L4,8519,412
2025-03-29,L4,7620,633
2025-03-30,L4,7456,847
2025-03-31,L2,5023,612
2025-04-01,L4,6496,472
2025-04-02,L4,5230,234
2025-04-03,L5,9396,573
2025-04-04,L3,8014,200
2025-04-05,L2,9569,705
2025-04-06,L2,7760,378
2025-04-07,L4,7592,863
2025-04-08,L2,6738,274
2025-04-09,L4,6220,756
2025-04-10,L5,9462,498
